feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio,skewness,kurtosis
squareroot_gldm_LowGrayLevelEmphasis,0.002119835506275786,0.1254330614209175,0.009131645178250393,0.02819672131147541,0.1718032786885246,9.299555022618103,112.50345205659777
wavelet-LHH_glszm_ZoneEntropy,0.0021066024345971763,0.1345272546261549,0.009530716224702989,0.1822950819672131,0.21770491803278688,3.5964847304949528,119.93923850590085
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,0.0020915610066111214,0.06019776441156864,0.0074262629384566166,0.11934426229508197,0.08065573770491803,-3.9558575223993966,40.773004255190294
wavelet-HHL_ngtdm_Strength,0.0020868773087248473,0.051746837683022025,0.007175986465735123,0.16524590163934427,0.03475409836065574,-5.3162803454270255,31.999808063589356
lbp-3D-k_glcm_JointEnergy,0.002085055684261644,0.04030421778559685,0.006375656825697347,0.05901639344262295,0.14098360655737704,3.8513901049766255,22.061014472771163
log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.002071412757955123,0.05417773596942425,0.006512113660470244,0.16459016393442624,0.03540983606557377,-4.75689925091773,38.889933639632844
square_glcm_SumSquares,0.002069569300408248,0.03142922829836607,0.005697054624724366,0.0760655737704918,0.12393442622950819,0.6440084960164234,14.276298116733752
log-sigma-2-0-mm-3D_firstorder_Maximum,0.0020695257468790343,0.03088523052632809,0.005673687700193481,0.1436065573770492,0.05639344262295082,-2.709825559685189,15.2844675703655
squareroot_glcm_Contrast,0.002068162377032106,0.022074305824935435,0.004998552448103194,0.07934426229508197,0.12065573770491804,1.6606082492028758,7.910673266617463
squareroot_firstorder_Kurtosis,0.002065408526205263,0.035638160072267056,0.005480217658162043,0.13639344262295083,0.06360655737704918,-2.613756576541187,17.585169087104546
log-sigma-3-0-mm-3D_firstorder_Maximum,0.0020344294020387056,0.1283329287171364,0.00812854502794152,0.01901639344262295,0.18098360655737705,9.896869003401653,146.90518134479217
log-sigma-5-0-mm-3D_ngtdm_Strength,0.0020251139580012606,0.19902200639247894,0.01136710009204565,0.11409836065573771,0.1842622950819672,-12.787745838029107,222.0770848275112
wavelet-HHH_glcm_MCC,0.0020180537821816607,0.0734764301776886,0.007648701062141362,0.03409836065573771,0.1659016393442623,6.698649368272515,61.354768880918414
wavelet-LLL_glrlm_RunLengthNonUniformity,0.002015159230007495,0.040445263981819156,0.006433229873871963,0.04918032786885246,0.15081967213114755,4.477664560014785,24.708098255399186
original_shape_MinorAxisLength,0.0020112920819552733,0.04700509769842029,0.006121042134356484,0.036065573770491806,0.16393442622950818,4.543186491538067,32.708048534532594
